country_code,region_name,iata,icao,airport,latitude,longitude
MZ,Cabo Delgado,MZB,FQMP,Mocimboa da Praia Air,-11.36,40.35
MZ,Cabo Delgado,POL,FQPB,Pemba Airport,-12.99,40.52
MZ,Inhambane,BCW,,Benguerra Island Airport,-21.85,35.44
MZ,Inhambane,INH,FQIN,Inhambane Airport,-23.88,35.41
MZ,Inhambane,BZB,,Bazaruto Island Airport,-21.54,35.47
MZ,Cabo Delgado,MUD,FQMD,Mueda Airport,-11.67,39.56
MZ,Inhambane,DGK,,Dugong Beach Lodge Airstrip,-22.13,35.44
MZ,Gaza,VJB,FQXA,Xai-Xai Airport,-25.04,33.63
MZ,Cabo Delgado,IBO,FQIB,Ibo Island Airport,-12.35,40.6
MZ,Cabo Delgado,LFB,FQLU,Lumbo Airport,-15.03,40.67
MZ,Zambezia,VJQ,,Gurue Airport,-15.51,36.99
MZ,Sofala,BEW,FQBR,Beira Airport,-19.8,34.91
MZ,Nampula,MNC,FQNC,Nacala Airport,-14.49,40.71
MZ,Maputo,IHC,FQIA,Inhaca Airport,-26.0,32.93
MZ,Tete,TET,FQTT,Chingozi Airport,-16.1,33.64
MZ,Sofala,CMZ,,Caia Airport,-17.83,35.33
MZ,Maputo,MPM,FQMA,Maputo International Airport,-25.92,32.57
MZ,Nampula,ANO,FQAG,Angoche Airport,-16.18,39.95
MZ,Zambezia,BJN,,Bajone Airport,-17.18,37.95
,Khomas,OGV,FYNG,Ongava Airstrip,-22.18,18.53
,Erongo,WVB,FYWB,Walvis Bay Airport,-22.98,14.65
,Kunene,TCY,FYTE,Terrace Bay Airport,-19.97,13.02
,Karas,AIW,FYAA,Ai-Ais Airport,-28.0,17.6
,Hardap,SZM,FYSS,Sesriem Airport,-24.51,15.75
,Oshana,OND,FYOA,Ondangwa Airport,-17.88,15.95
,Oshikoto,OKU,FYMO,Mokuti Lodge Airport,-18.81,17.06
,Karas,KAS,FYKB,Karasburg Airport,-28.03,18.74
,Khomas,MQG,FYMG,Midgard Airport,-22.01,17.37
,Oshikoto,NNI,FYNA,Namutoni Airport,-18.81,16.93
,Karas,RHN,FYSA,Skorpion Mine Airport,-27.88,16.65
,Khomas,WDH,FYWH,Hosea Kutako International Airport,-22.48,17.47
,Karas,OMD,FYOG,Oranjemund Airport,-28.58,16.45
,Kavango East,BQI,,Bagani Airport,-18.12,21.62
,Oshikoto,HAL,FYHI,Halali Airport,-19.03,16.46
,Omaheke,GOG,FYGB,Gobabis Airport,-22.5,18.97
,Erongo,MJO,FYME,Mount Etjo Airport,-21.02,16.45
,Kunene,OPW,FYOP,Opuwa Airport,-18.06,13.85
,Khomas,ERS,FYWE,Eros Airport,-22.61,17.08
,Oshana,OHI,FYOS,Oshakati Airport,-17.8,15.7
,Zambezi,OMG,FYOE,Omega Airport,-18.03,22.19
,Karas,KMP,FYKT,Keetmanshoop Airport,-26.54,18.11
,Erongo,ADI,FYAR,Arandis Airport,-22.46,14.98
,Oshikoto,OKF,FYOO,Okaukuejo Airport,-19.15,15.91
,Otjozondjupa,OTJ,FYOW,Otjiwarongo Airport,-20.43,16.66
,Erongo,SWP,FYSM,Swakopmund Airport,-22.66,14.57
,Zambezi,LHU,FYLS,Lianshulu Airport,-18.12,23.39
,Oshikoto,TSB,FYTM,Tsumeb Airport,-19.26,17.73
,Otjozondjupa,GFY,FYGF,Grootfontein Air Base,-19.6,18.12
,Karas,LUD,FYLZ,Luderitz Airport,-26.69,15.24
,Kavango East,NDU,FYRU,Rundu Airport,-17.96,19.72
,Zambezi,MPA,FYKM,Katima Mulilo Airport (Mpacha Airport),-17.63,24.18
NC,Province Nord,PDC,NWWQ,Mueo/Nickel Airport,-21.32,165.0
NC,Province Nord,BMY,NWWC,Ile Art - Waala Airport,-19.72,163.66
NC,Province Nord,KNQ,NWWD,Kone Airport,-21.05,164.84
NC,Province Sud,ILP,NWWE,Ile des Pins Airport,-22.59,167.46
NC,Province Nord,KOC,NWWK,Koumac Airport,-20.55,164.26
NC,Province Nord,PUV,NWWP,Malabou Airport,-20.29,164.1
NC,Province Nord,TOU,NWWU,Touho Airport,-20.79,165.26
NC,Province Sud,TGJ,NWWA,Tiga Airport,-21.1,167.8
NC,Province Sud,GEA,NWWM,Noumea Magenta Airport,-22.26,166.47
NC,Province Sud,NOU,NWWW,La Tontouta International Airport,-22.01,166.21
NC,Province des iles Loyaute,MEE,NWWR,Mare Airport,-21.48,168.04
NC,Province des iles Loyaute,UVE,NWWV,Ouvea Airport (Ouloup Airp,-20.64,166.57
NC,Province des iles Loyaute,LIF,NWWL,Ouanaham Airport,-20.77,167.24
NE,Zinder,ZND,DRZR,Zinder Airport,13.78,8.98
NE,Niamey,NIM,DRRN,Diori Hamani International Airport,13.48,2.18
NE,Agadez,AJY,DRZA,Mano Dayak International Airport,16.97,8.0
NE,Tahoua,THZ,DRRT,Tahoua Airport,14.88,5.27
NE,Maradi,MFQ,DRRM,Maradi Airport,13.5,7.13
NE,Agadez,RLT,DRZL,Arlit Airport,18.79,7.37
NF,Norfolk Island,NLK,YSNF,Norfolk Island Airport,-29.04,167.94
NG,Bauchi,BCU,,Bauchi State Airport,10.48,9.74
NG,Delta,QRW,DNSU,Warri Airport (Osubi Airport),5.6,5.82
NG,Katsina,DKA,,Katsina Airport,13.01,7.66
NG,Lagos,LOS,DNMM,Murtala Muhammed International Airport,6.58,3.32
NG,Ondo,AKR,DNAK,Akure Airport,7.25,5.3
NG,Akwa Ibom,QUO,DNAI,Akwa Ibom International Airport,4.87,8.09
NG,Kaduna,ZAR,DNZA,Zaria Airport,11.13,7.69
NG,Sokoto,SKO,DNSO,Sadiq Abubakar III International Airport,12.92,5.21
NG,Adamawa,YOL,DNYO,Yola Airport,9.26,12.43
NG,Edo,BNI,DNBE,Benin Airport,6.32,5.6
NG,Gombe,GMO,DNGO,Gombe Lawanti International Airport,10.3,10.9
NG,Cross River,CBQ,DNCA,Margaret Ekpo International Airport,4.98,8.35
NG,Kaduna,KAD,DNKA,Kaduna Airport,10.7,7.32
NG,Enugu,ENU,DNEN,Akanu Ibiam International Airport,6.47,7.56
NG,Abuja Federal Capital Territory,ABV,DNAA,Nnamdi Azikiwe International Airport,9.01,7.26
NG,Rivers,PHC,DNPO,Port Harcourt International Airport,5.02,6.95
NG,Delta,ABB,DNAS,Asaba International Airport,6.2,6.67
NG,Niger,MXJ,DNMN,Minna Airport,9.65,6.46
NG,Borno,MIU,DNMA,Maiduguri International Airport,11.86,13.08
NG,Kwara,ILR,DNIL,Ilorin International Airport,8.44,4.49
NG,Rivers,PHG,,Port Harcourt City Airport,4.85,7.02
NG,Imo,QOW,DNIM,Sam Mbakwe Airport,5.43,7.21
NG,Kano,KAN,DNKN,Mallam Aminu Kano International Airport,12.05,8.52
NG,Benue,MDI,DNMK,Makurdi Airport,7.7,8.61
NG,Abuja Federal Capital Territory,JOS,DNJO,Yakubu Gowon Airport,9.64,8.87
NG,Oyo,IBA,DNIB,Ibadan Airport,7.36,3.98
NI,Costa Caribe Norte,BZA,MNBZ,San Pedro Airport,14.03,-84.62
NI,Rio San Juan,NCR,MNSC,San Carlos Airport,11.13,-84.77
NI,Costa Caribe Sur,BEF,MNBL,Bluefields Airport,11.99,-83.77
NI,Costa Caribe Norte,WSP,MNWP,Waspam Airport,14.74,-83.97
